# 
# 04/20/2021 23:21:34
# The parameters defined in the project are:
# ,P26 - K,P76 - Mesh Relevance,P125 - celda1.x,P126 - celda1.y,P127 - volumen.x,P128 - volumen.y,P129 - H,P130 - L,P131 - Diametro,P132 - celda1.offsety,P133 - celda1.ny,P134 - celda1.offsetx,P135 - celda1.nx,P136 - celda2.x,P137 - celda2.y,P138 - celda2.offsety,P139 - celda2.ny,P140 - celda2.offsetx,P141 - celda2.nx,P142 - e,P193 - Volumenpila,P194 - Current,P195 - Rint,P199 - Flujo,P200 - ex [m],P201 - diametro [m],P202 - ey [m],P203 - k,P278 - pgen [W m^-3],P279 - massflow [kg s^-1],P280 - t_viento [C],P204 - D01 [kg m^-3],P205 - D02 [kg m^-3],P206 - D03 [kg m^-3],P207 - D04 [kg m^-3],P208 - D05 [kg m^-3],P209 - D06 [kg m^-3],P210 - D07 [kg m^-3],P211 - D08 [kg m^-3],P212 - D09 [kg m^-3],P213 - D10 [kg m^-3],P214 - D11 [kg m^-3],P215 - D12 [kg m^-3],P216 - D13 [kg m^-3],P217 - D14 [kg m^-3],P218 - D15 [kg m^-3],P219 - P01 [Pa],P220 - P02 [Pa],P221 - P03 [Pa],P222 - P04 [Pa],P223 - P05 [Pa],P224 - P06 [Pa],P225 - P07 [Pa],P226 - P08 [Pa],P227 - P09 [Pa],P228 - P11 [Pa],P229 - P10 [Pa],P230 - P12 [Pa],P231 - P13 [Pa],P232 - P14 [Pa],P233 - P15 [Pa],P234 - TC01 [K],P235 - TC02 [K],P236 - TC03 [K],P237 - TC04 [K],P238 - TC05 [K],P239 - TC06 [K],P240 - TC07 [K],P241 - TC09 [K],P242 - TC08 [K],P243 - TC10 [K],P244 - TC11 [K],P245 - TC12 [K],P246 - TC13 [K],P247 - TC14 [K],P248 - TF01 [K],P249 - TF02 [K],P250 - TF03 [K],P251 - TF04 [K],P252 - TF05 [K],P253 - TF06 [K],P254 - TF07 [K],P255 - TF08 [K],P256 - TF09 [K],P257 - TF10 [K],P258 - TF11 [K],P259 - TF12 [K],P260 - TF13 [K],P261 - TF14 [K],P262 - TF15 [K],P263 - V02 [m s^-1],P264 - V01 [m s^-1],P265 - V03 [m s^-1],P266 - V04 [m s^-1],P267 - V05 [m s^-1],P268 - V06 [m s^-1],P269 - V07 [m s^-1],P270 - V08 [m s^-1],P271 - V09 [m s^-1],P272 - V10 [m s^-1],P273 - V11 [m s^-1],P274 - V13 [m s^-1],P275 - V12 [m s^-1],P276 - V14 [m s^-1],P277 - V15 [m s^-1]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P26,P76,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P193,P194,P195,P199,P200,P201,P202,P203,P278,P279,P280,P204,P205,P206,P207,P208,P209,P210,P211,P212,P213,P214,P215,P216,P217,P218,P219,P220,P221,P222,P223,P224,P225,P226,P227,P228,P229,P230,P231,P232,P233,P234,P235,P236,P237,P238,P239,P240,P241,P242,P243,P244,P245,P246,P247,P248,P249,P250,P251,P252,P253,P254,P255,P256,P257,P258,P259,P260,P261,P262,P263,P264,P265,P266,P267,P268,P269,P270,P271,P272,P273,P274,P275,P276,P277
DP 204,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,1.224,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,1444.206233142063,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,294.509,294.514,294.52,294.527,294.535,294.538,294.547,294.553,294.552,294.564,294.567,294.573,294.576,294.583,294.409,294.415,294.42,294.425,294.43,294.434,294.439,294.445,294.451,294.455,294.461,294.467,294.472,294.477,294.48,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 205,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,1.531,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,2259.5229708938755,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,294.571,294.579,294.589,294.599,294.611,294.616,294.63,294.64,294.637,294.657,294.662,294.671,294.675,294.687,294.414,294.423,294.432,294.439,294.447,294.453,294.461,294.47,294.479,294.487,294.496,294.505,294.512,294.521,294.526,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 206,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,1.837,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,3253.004709705654,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,294.646,294.658,294.671,294.687,294.703,294.711,294.731,294.746,294.741,294.77,294.777,294.791,294.796,294.813,294.42,294.434,294.445,294.456,294.467,294.477,294.488,294.501,294.514,294.525,294.538,294.551,294.562,294.574,294.581,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 207,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,2.143,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,4427.0122276601905,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,294.735,294.751,294.769,294.79,294.813,294.823,294.85,294.87,294.865,294.903,294.913,294.932,294.94,294.962,294.427,294.446,294.462,294.476,294.492,294.505,294.52,294.538,294.555,294.57,294.588,294.605,294.62,294.637,294.647,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 208,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,2.449,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,5781.5455247574855,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,294.837,294.858,294.882,294.909,294.939,294.953,294.988,295.014,295.007,295.058,295.07,295.094,295.105,295.134,294.435,294.46,294.481,294.5,294.52,294.537,294.557,294.58,294.603,294.622,294.645,294.668,294.688,294.709,294.722,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 209,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,2.755,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,7316.604600997538,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,294.953,294.98,295.01,295.044,295.082,295.099,295.144,295.177,295.168,295.232,295.247,295.279,295.292,295.329,294.445,294.476,294.502,294.526,294.551,294.573,294.598,294.628,294.657,294.681,294.711,294.739,294.764,294.791,294.808,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 210,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,3.061,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,9032.1894563803489,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,295.083,295.116,295.153,295.196,295.242,295.263,295.318,295.359,295.348,295.427,295.446,295.485,295.501,295.546,294.455,294.493,294.526,294.556,294.587,294.613,294.645,294.682,294.717,294.747,294.784,294.819,294.85,294.883,294.903,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 211,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,3.367,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,10928.300090905916,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,295.227,295.266,295.312,295.363,295.419,295.445,295.511,295.561,295.547,295.643,295.666,295.712,295.732,295.787,294.467,294.513,294.552,294.588,294.626,294.658,294.696,294.741,294.783,294.819,294.864,294.907,294.944,294.984,295.009,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 212,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,3.673,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,13004.936504574242,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,295.384,295.431,295.485,295.546,295.612,295.643,295.722,295.781,295.765,295.879,295.906,295.962,295.985,296.05,294.48,294.534,294.581,294.624,294.669,294.707,294.752,294.805,294.856,294.899,294.952,295.003,295.047,295.095,295.125,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 213,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,3.98,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,15269.770985160312,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,295.555,295.611,295.674,295.745,295.824,295.86,295.952,296.022,296.002,296.137,296.169,296.234,296.261,296.338,294.494,294.558,294.613,294.663,294.716,294.761,294.813,294.876,294.935,294.986,295.048,295.108,295.16,295.216,295.251,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 214,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,4.286,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,17708.048910640762,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,295.74,295.804,295.877,295.96,296.051,296.093,296.2,296.281,296.258,296.414,296.451,296.527,296.558,296.647,294.508,294.583,294.647,294.705,294.766,294.818,294.879,294.952,295.021,295.079,295.152,295.221,295.282,295.347,295.387,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 215,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,4.592,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,20326.852615263968,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,295.938,296.012,296.096,296.19,296.295,296.343,296.466,296.559,296.533,296.712,296.754,296.841,296.877,296.98,294.525,294.61,294.684,294.75,294.82,294.88,294.95,295.034,295.113,295.18,295.263,295.343,295.412,295.487,295.533,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 216,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,4.898,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,23126.182099029942,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,296.149,296.234,296.329,296.437,296.556,296.611,296.751,296.857,296.827,297.03,297.079,297.177,297.218,297.335,294.542,294.639,294.723,294.798,294.878,294.946,295.026,295.121,295.211,295.287,295.382,295.473,295.551,295.637,295.689,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 217,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,5.204,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,26106.037361938663,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,296.375,296.47,296.578,296.699,296.834,296.896,297.053,297.173,297.14,297.369,297.424,297.535,297.582,297.713,294.56,294.67,294.764,294.85,294.94,295.017,295.107,295.214,295.316,295.402,295.508,295.611,295.7,295.796,295.855,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 218,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,5.51,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,29266.418403990152,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,296.614,296.72,296.841,296.978,297.128,297.198,297.375,297.509,297.471,297.728,297.79,297.915,297.967,298.114,294.579,294.702,294.808,294.904,295.005,295.091,295.192,295.312,295.426,295.523,295.643,295.757,295.857,295.965,296.031,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 219,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,5.816,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,32607.325225184388,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,296.867,296.985,297.12,297.272,297.44,297.517,297.714,297.864,297.822,298.108,298.177,298.316,298.374,298.538,294.6,294.737,294.855,294.962,295.074,295.17,295.283,295.417,295.544,295.651,295.785,295.912,296.023,296.143,296.217,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 220,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,6.122,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,36128.757825521396,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,297.133,297.264,297.414,297.582,297.768,297.854,298.072,298.238,298.191,298.509,298.585,298.739,298.803,298.985,294.621,294.773,294.904,295.022,295.147,295.253,295.378,295.526,295.667,295.786,295.934,296.076,296.199,296.332,296.413,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 221,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,6.429,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,39843.110048941722,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,297.414,297.559,297.724,297.91,298.114,298.209,298.45,298.632,298.581,298.931,299.015,299.185,299.256,299.457,294.644,294.812,294.956,295.086,295.224,295.341,295.479,295.642,295.797,295.929,296.092,296.248,296.384,296.53,296.62,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 222,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,6.735,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,43726.184161090852,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,297.708,297.867,298.047,298.252,298.476,298.58,298.844,299.045,298.989,299.373,299.465,299.652,299.729,299.949,294.668,294.852,295.01,295.153,295.304,295.433,295.584,295.763,295.933,296.078,296.257,296.428,296.577,296.738,296.837,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 223,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,7.041,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,47789.784052382733,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,298.015,298.189,298.386,298.609,298.855,298.969,299.257,299.476,299.415,299.835,299.935,300.14,300.224,300.465,294.693,294.894,295.067,295.223,295.388,295.529,295.694,295.89,296.076,296.234,296.429,296.616,296.779,296.955,297.063,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 224,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,7.347,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,52033.90972281737,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,298.336,298.525,298.74,298.983,299.251,299.375,299.689,299.927,299.861,300.318,300.427,300.649,300.741,301.004,294.719,294.937,295.126,295.297,295.476,295.629,295.809,296.022,296.225,296.396,296.609,296.813,296.99,297.182,297.3,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 225,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,7.653,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,56458.561172394759,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,298.671,298.876,299.11,299.373,299.663,299.797,300.138,300.397,300.325,300.821,300.939,301.181,301.281,301.565,294.746,294.983,295.188,295.373,295.567,295.733,295.929,296.16,296.38,296.566,296.797,297.018,297.211,297.419,297.546,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 226,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,7.959,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,61063.738401114912,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,299.019,299.241,299.494,299.779,300.093,300.238,300.606,300.887,300.808,301.345,301.473,301.734,301.842,302.15,294.774,295.031,295.252,295.452,295.662,295.842,296.053,296.304,296.542,296.743,296.993,297.232,297.44,297.665,297.803,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 227,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,8.265,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,65849.441408977844,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,299.381,299.621,299.893,300.2,300.539,300.695,301.093,301.395,301.31,301.889,302.027,302.309,302.425,302.757,294.803,295.08,295.319,295.535,295.761,295.955,296.183,296.453,296.709,296.926,297.196,297.454,297.678,297.921,298.07,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 228,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,8.571,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,70815.670195983519,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,299.757,300.015,300.307,300.638,301.002,301.17,301.598,301.922,301.832,302.454,302.602,302.905,303.03,303.387,294.834,295.131,295.388,295.62,295.864,296.073,296.318,296.608,296.883,297.117,297.407,297.684,297.925,298.186,298.347,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
DP 229,1.2,-50,30,27.75,2.25,223.8,223.8,1405.3527042645962,25.5,56.1,3,97.168050304614013,14,78.584025152307021,55.8,56.1,2,97.168050304614013,13,15,3.3195835123697392E-05,8.878,0.032,150.25,0.03,0.025500000000000002,0.015,1.2,75979.540162238089,1.3134609031536684,21.25,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,316.938,291.432,267.66,244.336,221.886,197.914,176.42,156.429,133.666,90.4163,111.896,70.1634,48.0172,26.931,2.36157,300.147,300.424,300.738,301.093,301.483,301.664,302.123,302.471,302.373,303.041,303.2,303.525,303.66,304.043,294.865,295.185,295.46,295.709,295.971,296.194,296.457,296.769,297.065,297.315,297.626,297.924,298.182,298.462,298.634,7.52837,7.73312,7.32566,7.11378,6.96845,6.97129,6.87295,6.72074,6.85815,6.69099,6.73131,6.69844,6.61887,6.65229,6.92534
